"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","correct","correct_response","feedback_duration","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","exp_id"
"1938620","13","text","0","1938623","0.0-0.0","s491","","","","","","","","","","","","","","","","","",""
"1018","89","poldrack-text","1","1940647","0.0-1.0","s491","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1018","500","fmri_response_test","","","","","","","","","","","","","",""
"31851","71","poldrack-text","2","1973002","0.0-2.0","s491","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","31851","500","fmri_response_test","","","","","","","","","","","","","",""
"8144","","survey-text","3","1981655","0.0-3.0","s491","","","","task_setup","{""Q0"":""400""}","","","","","","","","","","","","",""
"14826","32","poldrack-single-stim","4","1997489","0.0-4.0","s491","","14826","0","instructions","","<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/moon.png></img>index finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/oval.png></img>index finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/rectangle.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/trapezoid.png></img>middle finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star!</strong></p><p class = instruct-text>We will start with practice</p></div>","32","14826","","","","","","","","","",""
"-1","-1","poldrack-single-stim","5","1997992","0.0-5.0-0.0","s491","","500","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","500","test","","","","","","","","",""
"845","89","poldrack-categorize","6","2000349","0.0-5.0-1.0-0.0","s491","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","practice","true","89","500","0","","","","",""
"670","71","poldrack-categorize","7","2002957","0.0-5.0-1.0-1.0","s491","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","practice","true","71","500","1","","","","",""
"514","71","poldrack-categorize","8","2005564","0.0-5.0-1.0-2.0","s491","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","practice","true","71","500","2","","","","",""
"570","71","poldrack-categorize","9","2008171","0.0-5.0-1.0-3.0","s491","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","practice","true","71","500","3","","","","",""
