block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
4893.0,UA_with_intermeidate,,"1,0,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,1.0,"89,71",0.0,,4893,"1,0,0,2,3,0,0,0,0",4893.0,,7906,0.0,to_hand,poldrack-single-stim,s061
2216.0,UA_with_intermeidate,,"1,0,0,2,3,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,1.0,"89,71,82",0.0,,2216,"1,0,0,2,3,0,0,0,0",2216.0,,10125,0.0,to_board,poldrack-single-stim,s061
786.0,UA_with_intermeidate,,"1,0,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,2.0,"89,71",0.0,,786,"1,0,0,2,3,0,0,0,0",786.0,,10916,0.0,to_hand,poldrack-single-stim,s061
1006.0,UA_with_intermeidate,,"1,0,0,2,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,2.0,"89,71,82",0.0,,1006,"1,0,0,2,3,0,0,0,0",1006.0,,11924,0.0,to_board,poldrack-single-stim,s061
595.0,UA_with_intermeidate,,"1,0,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,3.0,"89,71,82",0.0,,595,"1,0,0,2,3,0,0,0,0",595.0,,12521,0.0,to_hand,poldrack-single-stim,s061
487.0,UA_with_intermeidate,,"1,2,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",0.0,,487,"1,0,0,2,3,0,0,0,0",487.0,,13010,0.0,to_board,poldrack-single-stim,s061
921.0,UA_with_intermeidate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,4.0,"89,82",0.0,,921,"1,0,0,2,3,0,0,0,0",921.0,,13936,0.0,to_hand,poldrack-single-stim,s061
893.0,UA_with_intermeidate,,"1,2,3,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,4.0,"89,71,82",0.0,,893,"1,0,0,2,3,0,0,0,0",893.0,,14832,0.0,to_board,poldrack-single-stim,s061
2500.0,UA_with_intermeidate,True,,practice,ward_and_allport,,-1,3.0,4.0,none,0.0,14832.0,-1,,1000.0,,17339,0.0,feedback,poldrack-single-stim,s061
4654.0,UA_with_intermeidate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,1.0,"89,71",1.0,,4654,"1,2,0,3,0,0,0,0,0",4654.0,,21997,0.0,to_hand,poldrack-single-stim,s061
1079.0,UA_with_intermeidate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,1.0,"89,71,82",1.0,,1079,"1,2,0,3,0,0,0,0,0",1079.0,,23078,0.0,to_board,poldrack-single-stim,s061
689.0,UA_with_intermeidate,,"1,0,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",71,3.0,2.0,"89,71,82",1.0,,689,"1,2,0,3,0,0,0,0,0",689.0,,23770,0.0,to_hand,poldrack-single-stim,s061
420.0,UA_with_intermeidate,,"1,3,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",1.0,,420,"1,2,0,3,0,0,0,0,0",420.0,,24192,0.0,to_board,poldrack-single-stim,s061
1075.0,UA_with_intermeidate,,"1,3,0,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,3.0,"89,82",1.0,,1075,"1,2,0,3,0,0,0,0,0",1075.0,,25271,0.0,to_hand,poldrack-single-stim,s061
449.0,UA_with_intermeidate,,"1,3,2,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",1.0,,449,"1,2,0,3,0,0,0,0,0",449.0,,25722,0.0,to_board,poldrack-single-stim,s061
2100.0,UA_with_intermeidate,True,,practice,ward_and_allport,,-1,3.0,3.0,none,1.0,10487.0,-1,,1000.0,,27827,0.0,feedback,poldrack-single-stim,s061
2893.0,UA_without_intermeidate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,1.0,"71,82",2.0,,2893,"0,0,0,1,2,0,3,0,0",2893.0,,30724,0.0,to_hand,poldrack-single-stim,s061
440.0,UA_without_intermeidate,,"0,0,0,1,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,1.0,"89,71,82",2.0,,440,"0,0,0,1,2,0,3,0,0",440.0,,31166,0.0,to_board,poldrack-single-stim,s061
447.0,UA_without_intermeidate,,"0,0,0,0,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,2.0,"71,82",2.0,,447,"0,0,0,1,2,0,3,0,0",447.0,,31618,0.0,to_hand,poldrack-single-stim,s061
343.0,UA_without_intermeidate,,"0,0,0,0,0,0,3,2,1",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,2.0,"89,71,82",2.0,,343,"0,0,0,1,2,0,3,0,0",343.0,,31963,0.0,to_board,poldrack-single-stim,s061
4082.0,UA_without_intermeidate,,"0,0,0,0,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,3.0,82,2.0,,4082,"0,0,0,1,2,0,3,0,0",4082.0,,36050,0.0,to_hand,poldrack-single-stim,s061
831.0,UA_without_intermeidate,,"0,0,0,1,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,3.0,"89,71,82",2.0,,831,"0,0,0,1,2,0,3,0,0",831.0,,36884,0.0,to_board,poldrack-single-stim,s061
636.0,UA_without_intermeidate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,4.0,"71,82",2.0,,636,"0,0,0,1,2,0,3,0,0",636.0,,37523,0.0,to_hand,poldrack-single-stim,s061
