,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_color,stim_word,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
5,congruent,1.0,71.0,practice,stroop,71,"89,71,82",789,blue,blue,,-60683,stim,1.0,poldrack-categorize,s130
7,incongruent,1.0,82.0,practice,stroop,82,"89,71,82",1367,green,blue,,-58426,stim,2.0,poldrack-categorize,s130
9,incongruent,1.0,71.0,practice,stroop,71,"89,71,82",970,blue,red,,-56169,stim,3.0,poldrack-categorize,s130
11,incongruent,1.0,89.0,practice,stroop,89,"89,71,82",608,red,blue,,-53912,stim,4.0,poldrack-categorize,s130
13,congruent,1.0,82.0,practice,stroop,82,"89,71,82",811,green,green,,-51656,stim,5.0,poldrack-categorize,s130
15,incongruent,1.0,71.0,practice,stroop,71,"89,71,82",538,blue,green,,-49400,stim,6.0,poldrack-categorize,s130
17,congruent,1.0,89.0,practice,stroop,89,"89,71,82",475,red,red,,-47144,stim,7.0,poldrack-categorize,s130
19,incongruent,1.0,82.0,practice,stroop,82,"89,71,82",744,green,red,,-44888,stim,8.0,poldrack-categorize,s130
21,incongruent,1.0,89.0,practice,stroop,89,"89,71,82",589,red,green,,-42632,stim,9.0,poldrack-categorize,s130
43,congruent,1.0,82.0,test,stroop,82,"89,71,82",830,green,green,,5783,stim,0.0,poldrack-single-stim,s130
44,incongruent,1.0,71.0,test,stroop,71,"89,71,82",973,blue,red,,7785,stim,1.0,poldrack-single-stim,s130
45,congruent,1.0,71.0,test,stroop,71,"89,71,82",496,blue,blue,,10196,stim,2.0,poldrack-single-stim,s130
46,congruent,1.0,89.0,test,stroop,89,"89,71,82",555,red,red,,12199,stim,3.0,poldrack-single-stim,s130
47,congruent,1.0,71.0,test,stroop,71,"89,71,82",607,blue,blue,,14337,stim,4.0,poldrack-single-stim,s130
48,congruent,1.0,82.0,test,stroop,82,"89,71,82",446,green,green,,16339,stim,5.0,poldrack-single-stim,s130
49,congruent,1.0,89.0,test,stroop,89,"89,71,82",453,red,red,,18342,stim,6.0,poldrack-single-stim,s130
50,incongruent,1.0,82.0,test,stroop,82,"89,71,82",623,green,blue,,20345,stim,7.0,poldrack-single-stim,s130
51,congruent,1.0,71.0,test,stroop,71,"89,71,82",597,blue,blue,,22619,stim,8.0,poldrack-single-stim,s130
52,incongruent,1.0,71.0,test,stroop,71,"89,71,82",893,blue,green,,24621,stim,9.0,poldrack-single-stim,s130
53,incongruent,1.0,89.0,test,stroop,89,"89,71,82",625,red,blue,,26895,stim,10.0,poldrack-single-stim,s130
54,incongruent,1.0,82.0,test,stroop,82,"89,71,82",852,green,blue,,29170,stim,11.0,poldrack-single-stim,s130
55,incongruent,1.0,71.0,test,stroop,71,"89,71,82",669,blue,red,,31172,stim,12.0,poldrack-single-stim,s130
56,congruent,1.0,71.0,test,stroop,71,"89,71,82",881,blue,blue,,33853,stim,13.0,poldrack-single-stim,s130
57,incongruent,1.0,82.0,test,stroop,82,"89,71,82",783,green,red,,35855,stim,14.0,poldrack-single-stim,s130
58,congruent,1.0,82.0,test,stroop,82,"89,71,82",640,green,green,,38130,stim,15.0,poldrack-single-stim,s130
59,congruent,1.0,89.0,test,stroop,89,"89,71,82",521,red,red,,40133,stim,16.0,poldrack-single-stim,s130
