action,block_duration,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,stim_duration,text,time_elapsed,timing_post_trial,total_cards,trial_id,trial_type,which_round,worker_id
draw_card,3974.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",12.0,3974.0,3974.0,,6989,0.0,,stim,poldrack-single-stim,1.0,s061
draw_card,1194.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,2.0,1.0,"89,71",24.0,1194.0,1194.0,,8188,0.0,,stim,poldrack-single-stim,1.0,s061
draw_card,1384.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,3.0,1.0,"89,71",36.0,1384.0,1384.0,,9576,0.0,,stim,poldrack-single-stim,1.0,s061
end_round,1131.0,0.0,test,columbia_card_task_fmri,12.0,71.0,-70.0,6.0,3.0,1.0,"89,71",36.0,1131.0,1131.0,,10711,0.0,3.0,stim,poldrack-single-stim,1.0,s061
draw_card,6097.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",14.0,6097.0,6097.0,,19270,0.0,,stim,poldrack-single-stim,2.0,s061
draw_card,1282.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,2.0,1.0,"89,71",28.0,1282.0,1282.0,,20557,0.0,,stim,poldrack-single-stim,2.0,s061
end_round,1956.0,0.0,test,columbia_card_task_fmri,14.0,71.0,-75.0,6.0,2.0,1.0,"89,71",28.0,1956.0,1956.0,,22516,0.0,2.0,stim,poldrack-single-stim,2.0,s061
draw_card,4270.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",15.0,4270.0,4270.0,,29247,0.0,,stim,poldrack-single-stim,3.0,s061
end_round,2451.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-70.0,6.0,1.0,1.0,"89,71",15.0,2451.0,2451.0,,31700,0.0,1.0,stim,poldrack-single-stim,3.0,s061
draw_card,3069.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,1.0,1.0,"89,71",17.0,3069.0,3069.0,,37298,0.0,,stim,poldrack-single-stim,4.0,s061
draw_card,1139.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,2.0,1.0,"89,71",34.0,1139.0,1139.0,,38440,0.0,,stim,poldrack-single-stim,4.0,s061
end_round,1306.0,0.0,test,columbia_card_task_fmri,17.0,71.0,-75.0,6.0,2.0,1.0,"89,71",34.0,1306.0,1306.0,,39752,0.0,2.0,stim,poldrack-single-stim,4.0,s061
draw_card,3735.0,1.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,1.0,2.0,"89,71",-60.0,3735.0,3735.0,,45948,0.0,1.0,stim,poldrack-single-stim,5.0,s061
draw_card,3342.0,0.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,1.0,2.0,"89,71",29.0,3342.0,3342.0,,51955,0.0,,stim,poldrack-single-stim,6.0,s061
draw_card,2385.0,0.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,2.0,2.0,"89,71",58.0,2385.0,2385.0,,54344,0.0,,stim,poldrack-single-stim,6.0,s061
end_round,1328.0,0.0,test,columbia_card_task_fmri,29.0,71.0,-75.0,8.0,2.0,2.0,"89,71",58.0,1328.0,1328.0,,55675,0.0,2.0,stim,poldrack-single-stim,6.0,s061
