block_duration,correct,correct_response,cue,exp_stage,experiment_exp_id,feedback_duration,flanker_location,flanker_middle_direction,flanker_type,key_press,possible_responses,rt,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
1700.0,1.0,89.0,double,practice,attention_network_task,1000.0,down,left,congruent,89,"89,71",994,1700.0,,-145399,500.0,stim,,poldrack-categorize,s061
1700.0,1.0,71.0,spatial,practice,attention_network_task,1000.0,down,right,incongruent,71,"89,71",676,1700.0,,-141683,500.0,stim,,poldrack-categorize,s061
1700.0,1.0,89.0,double,practice,attention_network_task,1000.0,down,left,incongruent,89,"89,71",637,1700.0,,-137971,500.0,stim,,poldrack-categorize,s061
1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,up,right,congruent,71,"89,71",681,1700.0,,-134256,500.0,stim,,poldrack-categorize,s061
1700.0,1.0,71.0,spatial,practice,attention_network_task,1000.0,up,right,congruent,71,"89,71",638,1700.0,,-130545,500.0,stim,,poldrack-categorize,s061
1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,down,right,congruent,71,"89,71",621,1700.0,,-126833,500.0,stim,,poldrack-categorize,s061
1700.0,1.0,89.0,spatial,practice,attention_network_task,1000.0,down,left,congruent,89,"89,71",586,1700.0,,-123119,500.0,stim,,poldrack-categorize,s061
1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,up,right,incongruent,71,"89,71",602,1700.0,,-119408,500.0,stim,,poldrack-categorize,s061
1700.0,1.0,89.0,spatial,practice,attention_network_task,1000.0,up,left,incongruent,89,"89,71",543,1700.0,,-115696,500.0,stim,,poldrack-categorize,s061
1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,down,right,incongruent,71,"89,71",596,1700.0,,-111981,500.0,stim,,poldrack-categorize,s061
1700.0,1.0,71.0,spatial,practice,attention_network_task,1000.0,up,right,incongruent,71,"89,71",602,1700.0,,-108270,500.0,stim,,poldrack-categorize,s061
1700.0,1.0,89.0,spatial,practice,attention_network_task,1000.0,up,left,congruent,89,"89,71",465,1700.0,,-104556,500.0,stim,,poldrack-categorize,s061
2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",675,1700.0,,5617,0.0,stim,0.0,poldrack-single-stim,s061
2100.272,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",678,1700.0,,8227,0.0,stim,1.0,poldrack-single-stim,s061
2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",613,1700.0,,10836,0.0,stim,2.0,poldrack-single-stim,s061
2100.136,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",642,1700.0,,13444,0.0,stim,3.0,poldrack-single-stim,s061
2100.408,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",637,1700.0,,16053,0.0,stim,4.0,poldrack-single-stim,s061
2100.544,1.0,71.0,double,test,attention_network_task,,down,right,congruent,71,"89,71",666,1700.0,,18664,0.0,stim,5.0,poldrack-single-stim,s061
2100.0,1.0,89.0,double,test,attention_network_task,,up,left,incongruent,89,"89,71",693,1700.0,,21275,0.0,stim,6.0,poldrack-single-stim,s061
2100.136,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",515,1700.0,,23884,0.0,stim,7.0,poldrack-single-stim,s061
2100.136,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",618,1700.0,,26492,0.0,stim,8.0,poldrack-single-stim,s061
2100.136,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",681,1700.0,,29105,0.0,stim,9.0,poldrack-single-stim,s061
2100.136,1.0,89.0,double,test,attention_network_task,,up,left,congruent,89,"89,71",588,1700.0,,31717,0.0,stim,10.0,poldrack-single-stim,s061
2100.272,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",728,1700.0,,34327,0.0,stim,11.0,poldrack-single-stim,s061
2100.136,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",657,1700.0,,36936,0.0,stim,12.0,poldrack-single-stim,s061
2100.408,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",675,1700.0,,39545,0.0,stim,13.0,poldrack-single-stim,s061
2100.0,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",560,1700.0,,42154,0.0,stim,14.0,poldrack-single-stim,s061
2100.136,1.0,71.0,double,test,attention_network_task,,down,right,congruent,71,"89,71",690,1700.0,,44764,0.0,stim,15.0,poldrack-single-stim,s061
2100.0,1.0,89.0,spatial,test,attention_network_task,,up,left,congruent,89,"89,71",579,1700.0,,47374,0.0,stim,16.0,poldrack-single-stim,s061
2100.136,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",748,1700.0,,49985,0.0,stim,17.0,poldrack-single-stim,s061
2100.952,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",633,1700.0,,52596,0.0,stim,18.0,poldrack-single-stim,s061
2100.272,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",642,1700.0,,55207,0.0,stim,19.0,poldrack-single-stim,s061
