CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
900.0,2000.0,True,89.0,Magnitude,stay,practice,twobytwo,500.0,89.0,"89,71",1402.0,#1F45FC,1000.0,8.0,magnitude,stay,,-156711,0.0,stim,0.0,poldrack-categorize,s061
100.0,2000.0,False,89.0,Magnitude,stay,practice,twobytwo,500.0,71.0,"89,71",1469.0,orange,1000.0,7.0,magnitude,stay,,-153094,0.0,stim,1.0,poldrack-categorize,s061
900.0,2000.0,True,71.0,Color,,practice,twobytwo,500.0,71.0,"89,71",901.0,orange,1000.0,3.0,color,switch,,-148679,0.0,stim,2.0,poldrack-categorize,s061
100.0,2000.0,True,71.0,Orange-Blue,switch,practice,twobytwo,500.0,71.0,"89,71",1059.0,orange,1000.0,2.0,color,stay,,-145060,0.0,stim,3.0,poldrack-categorize,s061
900.0,2000.0,True,89.0,Color,switch,practice,twobytwo,500.0,89.0,"89,71",761.0,#1F45FC,1000.0,8.0,color,stay,,-140646,0.0,stim,4.0,poldrack-categorize,s061
100.0,2000.0,True,71.0,Magnitude,,practice,twobytwo,500.0,71.0,"89,71",1206.0,#1F45FC,1000.0,2.0,magnitude,switch,,-137031,0.0,stim,5.0,poldrack-categorize,s061
100.0,2000.0,True,71.0,Color,,practice,twobytwo,500.0,71.0,"89,71",953.0,orange,1000.0,9.0,color,switch,,-133412,0.0,stim,6.0,poldrack-categorize,s061
900.0,2000.0,True,71.0,High-Low,,practice,twobytwo,500.0,71.0,"89,71",1153.0,orange,1000.0,3.0,magnitude,switch,,-128996,0.0,stim,7.0,poldrack-categorize,s061
900.0,2000.0,True,89.0,High-Low,stay,practice,twobytwo,500.0,89.0,"89,71",1119.0,orange,1000.0,8.0,magnitude,stay,,-124578,0.0,stim,8.0,poldrack-categorize,s061
100.0,2000.0,True,89.0,Magnitude,switch,practice,twobytwo,500.0,89.0,"89,71",1076.0,orange,1000.0,7.0,magnitude,stay,,-120960,0.0,stim,9.0,poldrack-categorize,s061
100.0,2000.0,True,89.0,Color,,practice,twobytwo,500.0,89.0,"89,71",1264.0,#1F45FC,1000.0,2.0,color,switch,,-117340,0.0,stim,10.0,poldrack-categorize,s061
100.0,2000.0,True,71.0,High-Low,,practice,twobytwo,500.0,71.0,"89,71",1264.0,orange,1000.0,1.0,magnitude,switch,,-113723,0.0,stim,11.0,poldrack-categorize,s061
900.0,2000.0,True,71.0,Magnitude,switch,practice,twobytwo,500.0,71.0,"89,71",946.0,#1F45FC,1000.0,2.0,magnitude,stay,,-109309,0.0,stim,12.0,poldrack-categorize,s061
900.0,2000.0,True,89.0,Color,,practice,twobytwo,500.0,89.0,"89,71",711.0,#1F45FC,1000.0,8.0,color,switch,,-104890,0.0,stim,13.0,poldrack-categorize,s061
900.0,2000.0,True,89.0,Magnitude,,practice,twobytwo,500.0,89.0,"89,71",1016.0,#1F45FC,1000.0,8.0,magnitude,switch,,-100476,0.0,stim,14.0,poldrack-categorize,s061
100.0,2000.0,True,89.0,Magnitude,stay,practice,twobytwo,500.0,89.0,"89,71",1200.0,orange,1000.0,7.0,magnitude,stay,,-96862,0.0,stim,15.0,poldrack-categorize,s061
100.0,3224.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",1098.0,#1F45FC,1000.0,8.0,magnitude,stay,,6842,0.0,stim,0.0,poldrack-single-stim,s061
100.0,2408.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",1399.0,orange,1000.0,7.0,color,switch,,9356,0.0,stim,1.0,poldrack-single-stim,s061
900.0,2816.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",739.0,orange,1000.0,3.0,magnitude,switch,,13079,0.0,stim,2.0,poldrack-single-stim,s061
100.0,2408.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",882.0,orange,1000.0,2.0,color,switch,,15596,0.0,stim,3.0,poldrack-single-stim,s061
